"Qty","Manufacturer","Manufacturer Part Number"
"2","Murata Electronics","GRM32ER61C476KE15L"
"20","Murata Electronics","GRM32EC72A106KE05L"
"2","Murata Electronics","GRM155R71H473KE14D"
"5","Murata Electronics","GRM155R61H105KE05D"
"20","Murata Electronics","GRM155R62A104ME14D"
"3","Murata Electronics","GRM155R71H102KA01D"
"1","DORABO(地博电气)","DB141R-2.54-2P-GN"
"1","KEFA(科发)","KF202-5.0-3P"
"1","Vishay Intertech","BZT52C10-E3-08"
"1","Vishay Intertech","IHLP2525CZER8R2M01"
"1","TDK","VLS6045AF-4R7M"
"2","YAGEO","RC0402FR-07100KL"
"1","YAGEO","RC0402FR-07422KL"
"17","YAGEO","RC0402FR-0710KL"
"5","Vishay Intertech","CRCW0603120RFKEAHP"
"1","YAGEO","RC0402FR-0730K9L"
"3","prosemi","MLR06A1R002F2"
"3","YAGEO","RC0402FR-0722RL"
"2","YAGEO","RC0402FR-0722K1L"
"2","XUNPU","TS-1088-AR02016"
"1","Hynetek","HUSB238A-BB001-QN16R"
"1","Texas Instruments","TPS62933DRLR"
"1","TECH PUBLIC","AON7409"
"1","Espressif Systems","ESP32-S3-WROOM-1"
"1","Texas Instruments","DRV8323SRTA"
"2","NXP Semicon","TJA1051TK/3"
"2","JS(钜硕电子)","AFD01-S35FCA-00"
"1","G-Switch(品赞)","GT-USB-7004N"
"2","CHERRY","MX1A-11NW"
"2","BOURNS","PEC11R-4220F-S0024"
"1","Megastar(兆星)","ZX-PZ1.27-2-5PZZ"
"2","MOLEX","522710679"
"1","华能","TMB12A12"
"1","HS(汉昇)","HS1602A-B"
