"Reference","Qty","Manufacturer","Manufacturer Part Number"
"C5,C6","2","Murata Electronics","GRM32ER61C476KE15L"
"C7,C8,C14,C15,C16,C17,C18,C19,C20,C23,C24,C28,C31,C32,C33,C37,C38,C39,C40,C41","20","Murata Electronics","GRM32EC72A106KE05L"
"C21,C25","2","Murata Electronics","GRM155R71H473KE14D"
"C22,C26,C27,C29,C30","5","Murata Electronics","GRM155R61H105KE05D"
"C34,C35,C36,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C53,C54,C55,C56","17","Murata Electronics","GRM155R62A104ME14D"
"C58,C73,C74","3","Murata Electronics","GRM155R71H102KA01D"
"CN1","1","DORABO(地博电气)","DB141R-2.54-2P-GN"
"CN3","1","KEFA(科发)","KF202-5.0-3P"
"D3","1","Texas Instruments","TPD4E02B04DQAR"
"D4","1","Vishay Intertech","BZT52C10-E3-08"
"L1","1","Vishay Intertech","IHLP2525CZER8R2M01"
"L2","1","TDK","VLS6045AF-4R7M"
"R11,R13","2","YAGEO","RC0402FR-07100KL"
"R12","1","YAGEO","RC0402FR-07422KL"
"R17,R21,R34,R37,R38,R39,R40,R41,R42,R43","10","YAGEO","RC0402FR-0710KL"
"R18,R19","2","Vishay Intertech","CRCW0603120RFKEAHP"
"R25","1","YAGEO","RC0402FR-0730K9L"
"R28,R29,R30","3","prosemi","MLR06A1R002F2"
"R31,R32,R33","3","YAGEO","RC0402FR-0722RL"
"R35,R36","2","YAGEO","RC0402FR-0722K1L"
"S1,S2","2","XUNPU","TS-1088-AR02016"
"U1","1","Hynetek","HUSB238A-BB001-QN16R"
"U2","1","Texas Instruments","LMR51420YDDCR"
"U3","1","Texas Instruments","TPS62933DRLR"
"U5","1","TECH PUBLIC","AON7409"
"U6","1","Espressif Systems","ESP32-S3-WROOM-1"
"U7","1","STMicroelectronics","STM32G474VEH6"
"U8","1","Texas Instruments","DRV8323SRTA"
"U10,U18","2","NXP Semicon","TJA1051TK/3"
"U11,U13,U14,U15,U16,U17","6","onsemi","NTTFS5C454NL"
"U22","1","JS(钜硕电子)","AFD01-S35FCA-00"
"USB1","1","G-Switch(品赞)","GT-USB-7004N"
