Designator,Mid X,Mid Y,Rotation,Layer
"C14",133.350000,-79.349600,90,bottom
"C15",117.602000,-97.840800,180,bottom
"C17",123.748800,-79.349600,90,bottom
"C23",117.602000,-91.440000,180,bottom
"C25",135.128000,-104.038400,90,bottom
"C26",140.004800,-98.552000,135,bottom
"C27",123.342400,-109.016800,0,bottom
"C28",117.602000,-94.640400,180,bottom
"C30",132.486400,-95.300800,90,bottom
"C32",136.550400,-79.349600,90,bottom
"C33",117.602000,-88.239600,180,bottom
"C37",130.149600,-79.349600,90,bottom
"C38",117.602000,-85.039200,180,bottom
"C39",126.949200,-79.349600,90,bottom
"C41",117.602000,-81.838800,180,bottom
"C46",126.187200,-96.596400,180,bottom
"C47",126.187200,-95.656400,180,bottom
"C48",128.524000,-97.332800,180,bottom
"C49",129.641600,-95.300800,-90,bottom
"C50",126.124000,-98.222000,180,bottom
"C51",131.572000,-95.300800,90,bottom
"C54",135.128000,-105.867200,90,bottom
"C58",136.668189,-96.757811,45,bottom
"C73",135.753789,-95.843411,45,bottom
"C74",134.868976,-94.950224,45,bottom
"D3",122.885200,-112.014000,180,bottom
"D4",122.758400,-107.391200,0,bottom
"R11",123.340400,-110.032800,0,bottom
"R17",130.606800,-95.300800,90,bottom
"R21",128.828800,-99.771200,-90,bottom
"R25",133.280800,-107.602400,90,bottom
"R31",135.347389,-98.078611,-135,bottom
"R32",134.432989,-97.164211,-135,bottom
"R33",133.548176,-96.271024,-135,bottom
"R34",132.283200,-107.592400,-90,bottom
"R36",125.272800,-109.321600,0,bottom
"R40",137.922000,-108.712000,-90,bottom
"R41",135.991600,-108.712000,-90,bottom
"R42",138.887200,-108.712000,-90,bottom
"R43",136.956800,-108.712000,-90,bottom
"U6",157.909600,-98.946000,90,bottom
"C5",136.550400,-104.140000,90,top
"C6",151.282400,-96.215200,90,top
"C7",141.732000,-111.218450,-90,top
"C8",129.032000,-104.648000,90,top
"C16",117.602000,-91.440000,180,top
"C18",117.598400,-94.640400,180,top
"C19",117.602000,-97.840800,180,top
"C20",117.602000,-85.039200,180,top
"C21",145.440400,-96.418400,0,top
"C22",144.983200,-95.046800,90,top
"C24",148.031200,-96.215200,-90,top
"C29",162.437600,-105.372200,0,top
"C31",117.602000,-81.838800,180,top
"C34",143.967200,-110.580850,-90,top
"C35",145.897600,-95.046800,-90,top
"C36",131.165600,-104.343200,90,top
"C40",117.600200,-88.239600,180,top
"C42",160.144800,-102.502000,180,top
"C43",121.716800,-96.672400,180,top
"C44",160.144800,-105.372200,180,top
"C45",135.737600,-98.856800,-45,top
"C53",126.593600,-113.004600,0,top
"C55",148.793200,-110.591600,-90,top
"C56",162.437600,-106.299000,0,top
"CN1",158.343600,-80.467200,0,top
"CN3",148.336000,-75.488800,0,top
"L1",146.507200,-102.825800,-90,top
"L2",134.823200,-110.032800,180,top
"R12",150.723600,-110.591600,-90,top
"R13",128.473200,-113.004600,0,top
"R18",121.732801,-91.389200,0,top
"R19",160.144800,-97.320400,0,top
"R28",145.542000,-85.394800,0,top
"R29",141.478000,-85.410800,180,top
"R30",122.631200,-81.800000,-90,top
"R35",149.758400,-110.591600,90,top
"R37",160.144800,-104.407000,0,top
"R38",160.144800,-106.299000,0,top
"R39",160.144800,-103.441800,180,top
"S1",155.674400,-104.788000,180,top
"S2",155.651200,-112.166400,0,top
"U1",126.912500,-110.587500,0,top
"U2",146.507200,-111.190450,-90,top
"U3",133.210300,-104.991789,0,top
"U5",125.206800,-106.812500,0,top
"U7",128.543200,-96.183600,90,top
"U8",139.111341,-95.859323,-135,top
"U10",121.716800,-94.030800,90,top
"U11",153.444800,-85.433200,-90,top
"U13",149.046400,-85.433200,-90,top
"U14",133.575600,-85.410800,90,top
"U15",137.973600,-85.423200,90,top
"U16",128.643200,-85.399600,-90,top
"U17",124.230000,-85.399600,-90,top
"U18",160.165001,-99.911200,90,top
"U22",127.369600,-74.715200,0,top
"USB1",117.652800,-104.444800,-90,top
